a1_m,a1_peak,a1_pwr,a1_fp_idx,a1_acc,a1_xo,a2_m,a2_peak,a2_pwr,a2_fp_idx,a2_acc,a2_xo,a3_m,a3_peak,a3_pwr,a3_fp_idx,a3_acc,a3_xo,a4_m,a4_peak,a4_pwr,a4_fp_idx,a4_acc,a4_xo,a5_m,a5_peak,a5_pwr,a5_fp_idx,a5_acc,a5_xo
0,0,0,0,0,0,0,0,0,0,0,0,1.0680937525900513,1554001877,12,47284,49,98,0.5011041584506181,1562390546,11,47559,49,8174,0.6272669608091138,1547709542,10,47124,49,8116
0,0,0,0,0,0,0,0,0,0,0,0,0.7424250197991928,1547708826,8,47141,49,64,0.40778003272658575,1560293260,12,47514,49,47,0.9238685753078627,1551901043,5,47248,49,8163
0,0,0,0,0,0,0,0,0,0,0,0,0.19563010937992056,1556096898,8,47422,49,90,0.3559661534010321,1560292825,11,47494,49,46,1.0646214889212113,1554001337,10,47308,49,8190
0,0,0,0,0,0,0,0,0,0,0,0,1.1342877990002869,1554001352,11,47315,49,40,0.3559661534010321,1560292825,11,47494,49,46,0.8939836844997295,1551903592,10,47237,49,8175
0,0,0,0,0,0,0,0,0,0,0,0,0.8474785831396148,1549803258,4,47191,49,21,0.33801330673383156,1560292164,10,47494,49,18,1.218531419412742,1556098009,10,47375,49,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6641948628762187,1547711193,13,47108,49,30,0.33801330673383156,1560292164,10,47494,49,18,1.0482003156663209,1554000592,10,47301,49,8183
0,0,0,0,0,0,0,0,0,0,0,0,0.3684093676961841,156021201,7,47496,4,44,13.414207267066582,1560290297,6,47517,49,53,0.17471617878647383,1558192738,5,47441,49,2
0,0,0,0,0,0,0,0,0,0,0,0,0.17655635716643656,1556097236,8,47417,49,43,0.3984969074682148,1560290297,6,47517,49,53,1.2058837356283265,1556098906,11,47371,49,14
0,0,0,0,0,0,0,0,0,0,0,0,0.900312950780079,1549808123,13,47209,49,36,0.4900885512207276,1562389400,11,47555,49,29,0.1909328846897347,1558195125,10,47451,49,2
0,0,0,0,0,0,0,0,0,0,0,0,0.636553629157364,1562388077,7,47611,49,6,0.5297639836040294,1562389709,11,47574,49,23,0.5858571244159657,1547709301,10,47107,49,8187
0,0,0,0,0,0,0,0,0,0,0,0,0.4494947446318426,1560291676,8,47533,49,8146,0.5297639836040294,1562389709,11,47574,49,23,0.44918435919141503,1562389594,11,47559,49,8162
0,0,0,0,0,0,0,0,0,0,0,0,0.7841397605951738,1549807427,12,47164,49,19,1.295744739852241,1556098178,10,47392,49,86,0.9321293666785578,1551903884,11,47256,49,8156
0,0,0,0,0,0,0,0,0,0,0,0,0.6180932506831986,1562388390,7,47600,49,60,1.295744739852241,1556098178,10,47392,49,86,0.7508848911552263,1549806156,10,47177,49,8157
0,0,0,0,0,0,0,0,0,0,0,0,1.2183324555128916,1554002633,13,47347,49,8162,1.0089373523988814,1551904905,12,47260,49,20,0.8484936592901053,1549806872,10,47220,49,22
0,0,0,0,0,0,0,0,0,0,0,0,0.8696120205192557,1549806281,8,47198,49,9,0.7276341304765921,1547707871,6,47146,49,8152,1.1652899402988681,1554000878,10,47354,49,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6365554069296293,1562388854,8,47603,49,8181,0,1547707871,6,47146,49,8152,0.9533445359462581,1551903825,11,47264,49,35
0,0,0,0,0,0,0,0,0,0,0,0,0.2316343831439054,1558193118,6,47437,49,57,0.45846933894012787,1560293320,12,47545,49,7,1.2566770962731686,1556098671,11,47394,49,4
0,0,0,0,0,0,0,0,0,0,0,0,1.158869358116934,155401277,11,47322,49,22,0.45846933894012787,1560293320,12,47545,49,7,1.0630916453898138,1554000819,10,47308,49,39
0,0,0,0,0,0,0,0,0,0,0,0,0.7610898511125097,1549807121,11,47150,49,22,0.20776663618595526,1558193685,6,47435,49,15,1.3491870006566198,1558195466,10,47431,49,8185
0,0,0,0,0,0,0,0,0,0,0,0,0.5042660770277896,1562387194,6,47556,49,8176,0.20776663618595526,1558193685,6,47435,49,15,1.1230640670766323,1553998376,5,47336,49,8158
0,0,0,0,0,0,0,0,0,0,0,0,0.09485939668629097,1556097182,7,47378,49,34,1.1254136120775133,1553998124,5,47318,49,6,0.1761437886894834,1558192710,5,47444,49,17
0,0,0,0,0,0,0,0,0,0,0,0,1.0060821208725073,1551902527,7,47252,49,29,1.1254136120775133,1553998124,5,47318,49,6,1.1440747688295652,1554001535,10,47346,49,8167
0,0,0,0,0,0,0,0,0,0,0,0,0.574949104296281,1562388916,8,47583,49,32,0.9222401280651409,1551904954,12,47230,49,8178,0.18001951395179364,1558195799,10,47446,49,2
0,0,0,0,0,0,0,0,0,0,0,0,0.2902814430502947,1558194507,7,47462,49,46,0.9222401280651409,1551904954,12,47230,49,8178,1.132652063642826,1554001005,11,47338,49,8185
0,0,0,0,0,0,0,0,0,0,0,0,1.0728877489240096,1551903107,8,47285,49,38,0.7176390214509716,1547707968,6,47140,49,8171,0.1816515908362563,1558195295,10,47446,49,8181
0,0,0,0,0,0,0,0,0,0,0,0,0.7954620502942291,1547708523,8,47165,49,8184,0.7176390214509716,1547707968,6,47140,49,8171,1.1314270859873947,1554000627,10,47342,49,8170
0,0,0,0,0,0,0,0,0,0,0,0,0.31904360528717374,1558195607,11,47476,49,8172,0.48468298217952904,1560292618,11,47552,49,8190,0.18236539579747293,1558196454,11,47447,49,8180
0,0,0,0,0,0,0,0,0,0,0,0,0.5253790180195754,1562388641,8,47565,49,89,0.29252509642437446,1558196005,11,47468,49,8160,1.1677380571442746,1554000500,10,47354,49,8132
0,0,0,0,0,0,0,0,0,0,0,0,0.1309659006804473,1556097013,7,47392,49,98,0.1210712218911299,1558195368,11,47397,49,8185,0.2503959693221716,1558196515,12,47476,49,8189
0,0,0,0,0,0,0,0,0,0,0,0,1.0941029219738052,1551902453,7,47293,49,18,0.1210712218911299,1558195368,11,47397,49,8185,1.2497416867433397,1556095493,5,47390,49,66
0,0,0,0,0,0,0,0,0,0,0,0,0.7274314605714578,1547710735,12,47136,49,52,1.3195102648421138,1556096233,6,47396,49,26,0.3755437462504673,1560293831,12,47529,49,8153
0,0,0,0,0,0,0,0,0,0,0,0,0.5358852901825795,1562388245,7,47566,49,54,1.3195102648421138,1556096233,6,47396,49,26,0.19460414222848568,1558192716,5,47455,49,8160
0,0,0,0,0,0,0,0,0,0,0,0,1.2494404978888758,1556097309,8,47362,49,25,0.17370113091352424,1556098429,11,47414,49,19,0.3308697559769598,1560292538,11,47511,49,3
0,0,0,0,0,0,0,0,0,0,0,0,0.39584615088179537,1560291824,8,47507,49,1,0.24275040468292483,1558195129,10,47449,49,69,0.6272669605058989,1547709963,10,47125,49,8180
0,0,0,0,0,0,0,0,0,0,0,0,0.19399803372296384,1556097427,8,47422,49,28,0.24275040468292483,1558195129,10,47449,49,69,0.37941947083453137,1560289301,5,47531,49,18
0,0,0,0,0,0,0,0,0,0,0,0,0.8333010598336899,1549806287,8,47186,49,41,0.26182415934680664,1558195855,11,47454,49,18,0.32852387414723927,1560293473,12,47510,49,73
0,0,0,0,0,0,0,0,0,0,0,0,0.4923321964881006,1562388729,8,47553,49,8189,0.22214680624674338,1558193474,6,47443,49,30,0.5092590602283382,1562389703,10,47586,49,8167
0,0,0,0,0,0,0,0,0,0,0,0,0.28232552573100655,1558194636,7,47460,49,51,0.22214680624674338,1558193474,6,47443,49,30,0.24335832378513383,1558192838,5,47473,49,46
0,0,0,0,0,0,0,0,0,0,0,0,1.1216419363696613,1554001528,11,47303,49,2,0.22214680624674338,1558193474,6,47443,49,30,0.42246138332364014,1560292078,10,47549,49,57
0,0,0,0,0,0,0,0,0,0,0,0,0.8984764165612553,1549805614,7,47211,49,49,0.64797814066198,1547710003,12,47100,49,18,1.3496963312837205,1558195162,11,47429,49,8123
0,0,0,0,0,0,0,0,0,0,0,0,0.5236447052285266,1562388612,7,47566,49,6,0.8583919580448168,1549803676,5,47197,49,8171,0,1558195572,10,47489,49,8157
0,0,0,0,0,0,0,0,0,0,0,0,1.1273523846432114,1554000040,8,47311,49,66,0.43358290592998733,1560292718,11,47530,49,42,1.3460250804321277,1556098680,11,4742,49,2
0,0,0,0,0,0,0,0,0,0,0,0,0.8782817422525222,1549808077,12,47201,49,44,0.43358290592998733,1560292718,11,47530,49,42,1.0231094207877263,1551900816,5,47287,49,8171
0,0,0,0,0,0,0,0,0,0,0,0,0.2868128260401468,1558196399,12,47464,49,38,1.2454625389442546,1556096206,7,47362,49,40,0.8588976893559274,1549806432,10,47217,49,8151
0,0,0,0,0,0,0,0,0,0,0,0,0.5272155650721073,1562385819,4,47563,49,8183,0.6191119625797098,1562390284,11,47607,49,38,0.7540468118296847,1547709754,11,47173,49,10
0,0,0,0,0,0,0,0,0,0,0,0,0.28732398635519574,1558194576,7,47459,49,72,0,1562390284,11,47607,49,38,0.4264393449072724,1560291711,9,47545,49,8172
0,0,0,0,0,0,0,0,0,0,0,0,1.1021592530213706,1553998802,6,47302,49,8159,0,1558195521,11,47469,49,58,0.48906435228352674,1562389872,11,47571,49,17
0,0,0,0,0,0,0,0,0,0,0,0,0.8419707812470997,1549805137,6,47189,49,8175,0.30354070003856265,1558195521,11,47469,49,58,1.3285833949598587,1556098353,10,47420,49,8180
0,0,0,0,0,0,0,0,0,0,0,0,0.44255933147248694,1560293254,12,47529,49,52,1.1873248201781894,1554002058,12,47340,49,13,1.3522466865474891,1556097671,10,47428,49,33
0,0,0,0,0,0,0,0,0,0,0,0,0.2050136389330254,1558193213,6,47426,49,32,1.1873248201781894,1554002058,12,47340,49,13,0.9355979855416585,1551904039,11,47249,49,8142
0,0,0,0,0,0,0,0,0,0,0,0,0.9935366709152471,1551902883,7,47247,49,8180,0.8315667562958896,1549805772,7,47188,49,43,0.9120369345528367,1551903720,10,47240,49,2
0,0,0,0,0,0,0,0,0,0,0,0,0.7126423571647059,1547709119,8,47129,49,8163,0.8315667562958896,1549805772,7,47188,49,43,0.48365878532291917,1562386945,5,47568,49,3
0,0,0,0,0,0,0,0,0,0,0,0,0.2649860791208833,1558194334,7,47454,49,29,0.4523499640148381,1560290703,6,47538,49,13,0.4177696209728154,1560293285,11,47542,49,8174
0,0,0,0,0,0,0,0,0,0,0,0,1.1627450845206015,1554000350,8,47324,49,8187,0.4523499640148381,1560290703,6,47538,49,13,1.1520306894874215,1554000520,10,47343,49,8176
0,0,0,0,0,0,0,0,0,0,0,0,0.6935686148449758,1547708071,7,47124,49,8164,1.2031344241297128,1556098782,11,47345,49,40,1.0505461983258932,1554000883,10,47298,49,8126
0,0,0,0,0,0,0,0,0,0,0,0,0.3642269424833901,1560293269,12,47497,49,54,1.2031344241297128,1556098782,11,47345,49,40,0.5468953989652444,1545612454,10,47087,49,8107
0,0,0,0,0,0,0,0,0,0,0,0,1.0800276276441563,1551903108,8,47287,49,8178,0.7588444064644811,1547707180,6,47157,49,45,0.40043017231914135,1560293531,12,47539,49,8169
0,0,0,0,0,0,0,0,0,0,0,0,0.1837984664288059,1558196127,12,47418,49,8184,0.3010925853957719,1558193628,6,47469,49,102,0.9588523384535611,1551904265,11,47264,49,8126
0,0,0,0,0,0,0,0,0,0,0,0,1.0557527658495953,1551902889,7,47277,49,58,0.3010925853957719,1558193628,6,47469,49,102,0.4888599326880036,1562389541,10,47576,49,8181
0,0,0,0,0,0,0,0,0,0,0,0,0,1549802953,4,47197,49,18,0.5007974519452559,1562387660,6,47558,49,94,0.9207066555572754,1551904048,10,,49,54
0,0,0,0,0,0,0,0,0,0,0,0,0.5187503086566949,1562388387,7,47558,49,8190,0.5007974519452559,1562387660,6,47558,49,94,0.4106297388258073,1560292826,10,47543,49,16
0,0,0,0,0,0,0,0,0,0,0,0,1.1972195142338602,1554000395,8,47338,49,8163,1.205275839054394,1554000948,10,47347,49,19,0.24968216533443796,1558192605,5,47473,49,8162
0,0,0,0,0,0,0,0,0,0,0,0,0.8509471907973043,1549806607,8,47189,49,8187,1.205275839054394,1554000948,10,47347,49,19,0.936923363688785,1551901257,5,47255,49,27
0,0,0,0,0,0,0,0,0,0,0,0,1.2058892381885058,1553999952,8,47341,49,63,0.7260020544010797,1547709508,10,47142,49,18,0.32791230566519963,1560293798,12,47506,49,8142
0,0,0,0,0,0,0,0,0,0,0,0,0.6713347373537738,1547709096,9,47110,49,8149,0.30486607877203437,1558193247,6,47471,49,8178,0.18246762974892258,1558196090,11,47444,49,8169
0,0,0,0,0,0,0,0,0,0,0,0,0.3276110964018973,1558193765,7,47480,49,18,0.30486607877203437,1558193247,6,47471,49,8178,0.9067335963196272,1551903780,10,47239,49,8188
0,0,0,0,0,0,0,0,0,0,0,0,1.0009814333689597,1551903503,8,47254,49,33,0.9921072489899119,1551904171,11,47253,49,17,0.7735276726448594,1549806610,11,47185,49,28
0,0,0,0,0,0,0,0,0,0,0,0,0.686328295857805,1547708584,7,47115,49,18,0.9921072489899119,1551904171,11,47253,49,17,0.30210760509940854,1560291767,9,47495,49,8168
0,0,0,0,0,0,0,0,0,0,0,0,0.12045964259167695,1556099007,12,47391,49,32,0.5296618430058515,1562387801,6,47571,49,6,1.3484731982329687,1558194849,10,47428,49,25
0,0,0,0,0,0,0,0,0,0,0,0,0.9979217440545378,1551903237,8,47252,49,26,0.5296618430058515,1562387801,6,47571,49,6,0.8337045628299663,1549806428,11,47211,49,18
0,0,0,0,0,0,0,0,0,0,0,0,0.5067141937958733,1560290163,6,47556,49,8173,1.2489311595999433,1556098443,11,47359,49,84,0.6953997645227068,1547709856,11,47151,49,8145
0,0,0,0,0,0,0,0,0,0,0,0,0.19767110835691173,1556096507,7,47418,49,8167,1.2489311595999433,1556098443,11,47359,49,84,0.2002141796582382,1558193106,6,47452,49,25
0,0,0,0,0,0,0,0,0,0,0,0,0.8552300377849672,1549805093,6,47195,49,7,0.7549686784517691,1547707688,6,47154,49,8183,1.2512715305470719,1556094819,4,47387,49,10
0,0,0,0,0,0,0,0,0,0,0,0,0.5005948198558273,1562389855,11,47552,49,74,0.7549686784517691,1547707688,6,47154,49,8183,0.781688048545916,1549807136,11,47183,49,8169
0,0,0,0,0,0,0,0,0,0,0,0,0.833505518550172,1549805081,6,47184,49,25,0.23591722130243117,1558193595,7,47443,49,30,0.15370547526156095,1558191516,4,47428,49,1
