a1_m,a1_peak,a1_pwr,a1_fp_idx,a1_acc,a1_xo,a2_m,a2_peak,a2_pwr,a2_fp_idx,a2_acc,a2_xo,a3_m,a3_peak,a3_pwr,a3_fp_idx,a3_acc,a3_xo,a4_m,a4_peak,a4_pwr,a4_fp_idx,a4_acc,a4_xo,a5_m,a5_peak,a5_pwr,a5_fp_idx,a5_acc,a5_xo
0,0,0,0,0,0,0,0,0,0,0,0,1.1514246027752513,1553999130,7,47316,49,53,2.022969977392208,1549802608,5,47184,49,39,2.011032434310477,1549800710,2,47200,49,8111
0,0,0,0,0,0,0,0,0,0,0,0,2.3107997008163275,1551901253,6,47301,49,33,1.788993317154794,1545608989,5,47086,49,9,1.6522147214497318,1545606890,3,47046,49,33
0,0,0,0,0,0,0,0,0,0,0,0,1.882523725492968,1547707265,6,47116,49,8170,1.645283050322537,1560289321,5,47535,49,53,1.6522147214497318,1545606890,3,47046,49,33
0,0,0,0,0,0,0,0,0,0,0,0,1.8631450898738633,1547706146,5,47106,49,83,1.3917232844843506,1556094342,5,47429,49,30,1.3595910410070915,1558190126,3,47435,49,8152
0,0,0,0,0,0,0,0,0,0,0,0,1.4515953203870062,1558193044,6,47445,49,60,1.3917232844843506,1556094342,5,47429,49,30,1.3595910410070915,1558190126,3,47435,49,8152
0,0,0,0,0,0,0,0,0,0,0,0,1.4350719082784806,1558192957,6,47439,49,8130,2.1990133895232633,1551900952,5,47258,49,62,1.13540688282502,1553995423,2,47337,49,8188
0,0,0,0,0,0,0,0,0,0,0,0,1.4350719082784806,1558192957,6,47439,49,8130,2.041839269508944,1549803645,5,47191,49,12,1.13540688282502,1553995423,2,47337,49,8188
0,0,0,0,0,0,0,0,0,0,0,0,2.2461355030961063,1551901184,6,47271,49,32,1.8342788878725271,1545608680,5,47106,49,31,2.1314884530495033,1551897930,2,47251,49,37
0,0,0,0,0,0,0,0,0,0,0,0,2.2461355030961063,1551901184,6,47271,49,32,1.6929144995629017,1560289029,5,47556,49,20,2.1314884530495033,1551897930,2,47251,49,37
0,0,0,0,0,0,0,0,0,0,0,0,1.456491555699119,1558193549,7,47445,49,8175,1.2858537116080295,1556094536,5,47379,49,16,1.9477958557763533,1547703481,2,47172,49,8190
0,0,0,0,0,0,0,0,0,0,0,0,1.4705668505075282,1558193266,6,47451,49,37,2.245217233289401,1551899616,4,47277,49,8182,1.7998026469250192,1545606792,2,47103,49,2
0,0,0,0,0,0,0,0,0,0,0,0,2.2656163667088354,1551901069,6,47280,49,69,2.0661141319824976,1549803932,6,47201,49,21,2.2128805187648206,1551898350,2,47285,49,8179
0,0,0,0,0,0,0,0,0,0,0,0,2.2428713467359276,1551902038,7,47271,49,21,1.7991928842020768,1545608359,5,47090,49,31,1.6287559017162396,1560286941,2,47548,49,8151
0,0,0,0,0,0,0,0,0,0,0,0,1.8560052117408685,1547705918,5,47104,49,8179,1.3332806958657417,1556095049,5,47402,49,27,1.4512849115644182,1558189486,2,47472,49,6
0,0,0,0,0,0,0,0,0,0,0,0,1.4484333987366778,1558192964,6,47444,49,8188,1.126435938616638,1553997440,5,47310,49,8151,1.4512849115644182,1558189486,2,47472,49,6
0,0,0,0,0,0,0,0,0,0,0,0,2.225736365565594,1551902325,7,47263,49,8172,1.8375430393924133,1545608799,5,47106,49,8179,1.2761598021834937,1556092832,2,47397,49,32
0,0,0,0,0,0,0,0,0,0,0,0,0,1551901624,6,47285,49,59,1.5307419071866923,1558191989,5,47490,49,40,1.1706973471970241,1553995331,2,47351,49,4
0,0,0,0,0,0,0,0,0,0,0,0,1.8798711494174665,1547707643,7,47118,49,1,1.365714108648752,1556095031,6,47420,49,19,1.1706973471970241,1553995331,2,47351,49,4
0,0,0,0,0,0,0,0,0,0,0,0,1.9786026732544162,154770635,5,47158,49,7,2.31385939056981,1553997175,5,47308,49,32,1.1399964124846058,1553995476,2,47340,49,8181
0,0,0,0,0,0,0,0,0,0,0,0,1.6407957565381297,1560289658,5,47526,49,24,2.1795325259709037,1551900554,5,47249,49,35,1.1399964124846058,1553995476,2,47340,49,8181
0,0,0,0,0,0,0,0,0,0,0,0,1.4178346923536636,1558192461,6,47432,49,80,1.8255069338105954,1545608953,5,47104,49,19,1.6741436997906307,1545607199,2,47055,49,26
0,0,0,0,0,0,0,0,0,0,0,0,1.5071826948780518,1558193594,7,47468,49,21,1.597958312416253,1560289124,5,47512,49,5,1.2495390611701624,1556092733,2,47386,49,11
0,0,0,0,0,0,0,0,0,0,0,0,1.2820802144477372,1556095461,6,47371,49,6,1.2315917163027095,1553996890,5,47360,49,83,1.3732592398518575,1558189408,2,47437,49,22
0,0,0,0,0,0,0,0,0,0,0,0,2.17871648293318,1551901397,6,47244,49,8189,15.477510980010733,1551900348,,47299,49,31,0,1558189408,2,47437,49,22
0,0,0,0,0,0,0,0,0,0,0,0,2.321203741052883,1553997387,5,47303,49,4,2.05683283648246,1549802435,4,47197,49,39,1.486268665413527,1558189409,2,47489,49,8158
0,0,0,0,0,0,0,0,0,0,0,0,2.003489108997798,1547707009,6,47170,49,10,1.9265843367570552,1547706507,5,47146,49,8183,1.486268665413527,1558189409,2,47489,49,8158
0,0,0,0,0,0,0,0,0,0,0,0,2.1373066385454855,1549804454,6,47226,49,35,1.723615447901097,1562385375,5,47568,49,58,1.6546628429599035,1545606420,2,47046,49,31
0,0,0,0,0,0,0,0,0,0,0,0,1.815309174271895,1545610493,7,47089,49,8166,1.5995903919964019,1560289046,5,47512,49,8185,1.6546628429599035,1545606420,2,47046,49,31
0,0,0,0,0,0,0,0,0,0,0,0,1.9527979684117052,1547707741,6,47149,49,34,1.408553402803919,1558191642,5,47433,49,30,1.9368824845417387,147704050,2,47167,49,8170
0,0,0,0,0,0,0,0,0,0,0,0,1.6562986575511633,1560290353,6,47536,49,58,1.2912592821932776,1556094212,5,47383,49,21,1.9368824845417387,1547704050,2,47167,49,8170
0,0,0,0,0,0,0,0,0,0,0,0,1.8441735705527718,1545610277,7,47102,49,77,1.1160319072712712,1553997317,5,47309,49,72,2.224609928631567,1551898235,2,47290,49,8
0,0,0,0,0,0,0,0,0,0,0,0,1.5626678354990848,1560289324,6,47494,49,45,2.2280822531563786,1551900802,5,47270,49,8171,1.6279398612815397,1560287170,2,47548,49,8164
0,0,0,0,0,0,0,0,0,0,0,0,1.7620676855668227,1545610412,6,47067,49,8185,2.060606329413062,1549803565,5,47200,49,51,1.3489843802037134,1556092367,2,47427,49,8169
0,0,0,0,0,0,0,0,0,0,0,0,1.4664866559440535,1558193316,7,47453,49,18,1.695158144224349,1562385228,5,47559,49,58,1.70147824857468,1545607005,2,47067,49,8163
0,0,0,0,0,0,0,0,0,0,0,0,1.701686462930784,1560290279,7,47555,49,8158,1.5658297611439382,1560289356,6,47499,49,52,2.1050721835967403,1551897541,2,47238,49,11
0,0,0,0,0,0,0,0,0,0,0,0,0,1558192938,6,47465,49,5,1.484130971275389,1558191890,5,47468,49,8153,2.1050721835967403,1551897541,2,47238,49,11
0,0,0,0,0,0,0,0,0,0,0,0,1.7332034507388236,1562387099,6,47566,49,26,1.3260385802777543,1556093892,5,47402,49,96,1.350105276579519,1558189167,2,47432,49,5
0,0,0,0,0,0,0,0,0,0,0,0,1.5073871682355189,1558193252,6,47468,49,8163,1.3260385802777543,1556093892,5,47402,49,96,2.0049130620002673,1549801291,2,47196,49,43
