a1_m,a1_peak,a1_pwr,a1_fp_idx,a1_acc,a1_xo,a2_m,a2_peak,a2_pwr,a2_fp_idx,a2_acc,a2_xo,a3_m,a3_peak,a3_pwr,a3_fp_idx,a3_acc,a3_xo,a4_m,a4_peak,a4_pwr,a4_fp_idx,a4_acc,a4_xo,a5_m,a5_peak,a5_pwr,a5_fp_idx,a5_acc,a5_xo
1.9189203779518822,1549805909,8,47206,49,8111,2.1278003889291677,1554000798,9,47305,49,8096,1.6259938097729734,1551898914,4,47070,49,8124,1.3745696326847565,1547706985,5,46976,49,8070,3.2182301727980622,1551896609,1,47249,49,8166
1.9189203779518822,1549805909,8,47206,49,8111,2.1278003889291677,1554000798,9,47305,49,8096,1.6259938097729734,1551898914,4,47070,49,8124,1.3745696326847565,1547706985,5,46976,49,8070,3.2182301727980622,1551896609,1,47249,49,8166
2.6679701776597398,1560290944,7,47526,49,8176,1.7133956042694747,1547709178,8,47128,49,8079,1.6549604220182323,1551898056,3,47082,49,8147,1.4870734519394568,1549804197,5,47009,49,8117,2.3571911565232333,1556090528,1,47387,49,8074
2.6679701776597398,1560290944,7,47526,49,8176,1.7133956042694747,1547709178,8,47128,49,8079,1.6549604220182323,1551898056,3,47082,49,8147,1.4870734519394568,1549804197,5,47009,49,8117,2.98211226945084,1547702123,1,47148,49,8103
2.39768456509033,1556098475,10,47408,49,8110,2.2321418942029436,1554000923,8,47346,49,8075,1.8474230587769276,1553995699,4,47171,49,8179,1.4146559776515233,1547706520,5,46984,49,8174,2.609834401090592,1558187111,1,47486,41,8119
2.2864076364447286,1554000752,10,47363,49,8148,1.8197762605813876,1547708276,7,47173,49,8066,2.1571815898508553,1558189641,4,47302,49,8123,1.5167519602332507,1549804574,5,47031,49,8116,2.9706877009868755,1547701466,1,47148,41,8170
2.2864076364447286,1554000752,10,47363,49,8148,1.8197762605813876,1547708276,7,47173,49,8066,2.1571815898508553,1558189641,4,47302,49,8123,1.5167519602332507,1549804574,5,47031,49,8116,2.9706877009868755,1547701466,1,47148,41,8170
1.7152376783009329,1547708362,8,47118,49,8188,1.9636910037733295,1549805724,8,47234,49,8130,2.048456892319713,1558189775,4,47248,49,8147,2.190429148263479,1560289076,4,47314,49,8084,2.7135605443364983,1560286501,2,47541,49,8135
1.7152376783009329,1547708362,8,47118,49,8188,1.9636910037733295,1549805724,8,47234,49,8130,2.048456892319713,1558189775,4,47248,49,8147,2.190429148263479,1560289076,4,47314,49,8084,2.7135605443364983,1560286501,2,47541,49,8135
1.6229322812884495,1562389636,10,47591,49,8096,1.6204786650780092,1545611490,7,47087,49,8017,2.253976156198017,1560288006,4,47337,49,8113,2.2848759350734347,1560289167,4,47356,49,8032,2.864717874032299,1545604690,1,47091,49,8105
