timestamp,elapsed_time,x,y,z,velocity,is_static,anchor_count,a1_measured,a1_filtered,a1_corrected,a2_measured,a2_filtered,a2_corrected,a3_measured,a3_filtered,a3_corrected,a4_measured,a4_filtered,a4_corrected,a5_measured,a5_filtered,a5_corrected
2025-11-08 13:36:08.853,6.357,1.928843,0.274079,0.767097,0.000000,0,5,1.467249,1.757989,1.958815,1.003305,1.213666,0.999411,3.484922,3.396436,3.274450,4.302770,4.035678,4.238067,1.865318,1.373958,1.541262
2025-11-08 13:36:09.106,6.610,2.040554,0.321393,0.896716,0.476167,0,5,1.838501,2.051978,2.434982,0.924690,1.281177,1.369128,3.903177,3.524236,3.690732,3.848621,3.912844,3.752819,1.248636,1.213477,1.004405
2025-11-08 13:36:09.596,7.100,2.063241,0.416103,1.198746,0.109583,0,5,1.940771,2.248742,2.505082,1.562681,1.366958,1.478711,4.054696,3.647568,3.808242,3.459728,3.686172,3.390869,1.227530,1.121442,1.001542
2025-11-08 13:36:10.104,7.608,1.984697,0.481296,1.429487,0.095414,0,5,1.594909,1.947930,1.556040,1.588478,1.434163,1.521717,3.920614,3.675908,3.712828,3.149247,3.454479,3.152634,0.803971,1.078607,1.022803
2025-11-08 13:36:10.346,7.850,1.875405,0.527178,1.602342,0.000000,0,5,1.594909,1.777749,1.556040,1.747236,1.516886,1.624655,3.932237,3.714326,3.764376,3.149247,3.323400,3.152634,0.803971,1.054374,1.022803
2025-11-08 13:36:10.598,8.102,1.875405,0.527178,1.602342,0.145741,0,3,1.808625,2.076216,2.465053,1.245265,1.500397,1.478915,3.059934,3.331013,2.831642,,,,,,
2025-11-08 13:36:10.884,8.387,1.934105,0.726043,1.656198,0.024666,0,5,1.808625,2.245072,2.465053,1.245265,1.491068,1.478915,3.086955,3.095754,2.789265,2.970402,3.165498,2.959787,1.261383,1.029953,0.998137
2025-11-08 13:36:11.098,8.602,1.917729,0.879421,1.797867,0.349775,0,5,1.987879,2.175174,2.084113,0.928769,1.459249,1.417797,3.398353,3.133767,3.183289,2.733642,2.924273,2.610012,1.427175,1.052158,1.081086
2025-11-08 13:36:11.602,9.106,1.863687,0.967752,1.946512,0.107788,0,5,1.721753,2.088822,1.976325,0.989743,1.464978,1.472441,3.618697,3.252869,3.408032,2.898007,2.843858,2.739095,1.290747,1.031954,1.005632
2025-11-08 13:36:11.849,9.353,1.734284,0.938679,1.919715,0.000000,0,4,,,,0.989743,1.468219,1.472441,3.618697,3.320250,3.408032,2.898007,2.798364,2.739095,1.514560,1.096608,1.180837
2025-11-08 13:36:12.104,9.608,1.769315,0.975432,1.917983,0.394870,0,5,1.164719,1.947507,1.763405,0.963742,1.353695,1.204497,3.064828,3.110229,2.836619,3.384378,2.955401,3.159985,1.865419,1.304661,1.575707
2025-11-08 13:36:12.351,9.854,1.769315,0.975432,1.917983,0.000000,0,4,2.325280,2.056696,2.198944,,,,3.064828,2.991412,2.836619,3.384378,3.044243,3.159985,1.865419,1.422365,1.575707
2025-11-08 13:36:12.645,10.149,1.908144,0.941309,1.794937,0.571590,0,5,1.803630,2.191977,2.368218,0.843424,1.304369,1.240107,3.633891,3.180097,3.425910,4.032564,3.452712,3.984856,1.353863,1.240737,1.004118
2025-11-08 13:36:12.892,10.396,1.908144,0.941309,1.794937,0.000000,0,4,1.803630,2.268511,2.368218,1.637115,1.388886,1.498993,,,,4.032564,3.683800,3.984856,1.353863,1.137983,1.004118
2025-11-08 13:36:13.114,10.618,1.961808,0.945786,1.889602,0.140070,0,5,1.816783,2.309761,2.363500,1.194589,1.293127,1.168375,3.761346,3.347670,3.565980,2.887403,3.296965,2.793005,1.213254,1.080310,1.005175
2025-11-08 13:36:13.370,10.873,1.994014,0.920159,1.997886,0.000000,0,5,1.816783,2.333097,2.363500,1.194589,1.238953,1.168375,3.878605,3.487545,3.669772,3.714334,3.364592,3.452695,1.213254,1.047682,1.005175
2025-11-08 13:36:13.604,11.108,1.960459,0.924543,2.082374,0.417477,0,5,1.248027,2.124573,1.852912,1.167977,1.212080,1.177070,3.447601,3.385386,3.252295,2.925132,3.117647,2.795934,0.887581,1.097265,1.161860
2025-11-08 13:36:13.872,11.376,1.903604,0.934818,2.156306,0.000000,0,5,1.248027,2.006602,1.852912,1.167977,1.196877,1.177070,3.447601,3.327590,3.252295,2.969789,2.969900,2.777418,2.005109,1.352586,1.685213
2025-11-08 13:36:14.129,11.633,1.940713,0.888038,1.975404,0.289802,0,5,2.274397,2.004428,2.001597,1.359465,1.327998,1.498820,3.408754,3.272934,3.201730,4.035113,3.376421,3.906028,1.666690,1.371184,1.395412
2025-11-08 13:36:14.379,11.883,1.940713,0.888038,1.975404,0.000000,0,4,,,,1.359465,1.402179,1.498820,3.408754,3.242013,3.201730,4.035113,3.606408,3.906028,1.184501,1.227397,1.040074
2025-11-08 13:36:14.653,12.157,1.980903,0.912346,1.747916,0.504720,0,5,1.990122,2.222378,2.506317,1.927815,1.796775,2.310845,3.458918,3.251566,3.264011,3.488177,3.465980,3.283035,1.361614,1.136660,1.018450
2025-11-08 13:36:14.862,12.366,1.980903,0.912346,1.747916,0.021247,0,4,1.805159,2.132032,2.014331,,,,3.458918,3.256970,3.264011,3.488177,3.386535,3.283035,1.361614,1.094553,1.039697
2025-11-08 13:36:15.127,12.631,1.961415,0.867480,1.681860,0.448645,0,5,1.214072,2.072997,1.996088,1.737244,1.668784,1.502041,3.903891,3.454855,3.712656,3.750021,3.460100,3.555940,1.832384,1.337799,1.654695
2025-11-08 13:36:15.356,12.859,1.979165,0.816975,1.629589,0.000000,0,5,1.214072,2.039598,1.996088,1.147584,1.459528,1.186914,3.480536,3.379796,3.282010,3.750021,3.501719,3.555940,1.832384,1.475414,1.654695
2025-11-08 13:36:15.595,13.099,1.952187,0.809326,1.626596,0.308635,0,5,2.138990,2.023403,2.002305,1.777417,1.597518,1.777289,3.705368,3.429826,3.495005,3.232451,3.391238,3.247305,1.292379,1.271568,1.006002
2025-11-08 13:36:15.859,13.363,1.952187,0.809326,1.626596,0.000000,0,4,2.138990,2.014241,2.002305,1.777417,1.675585,1.777289,3.625428,3.427378,3.424188,,,,1.292379,1.156243,1.006002
2025-11-08 13:36:16.115,13.619,1.922737,0.813491,1.669162,0.091275,0,5,1.966161,2.048694,2.093580,1.228849,1.598886,1.498964,3.758899,3.479828,3.548160,3.214914,3.345279,3.285406,1.069485,1.093203,1.011075
2025-11-08 13:36:16.356,13.860,1.889735,0.790049,1.750458,0.000000,0,4,1.966161,2.068186,2.093580,1.228849,1.555494,1.498964,3.758899,3.509502,3.548160,3.585757,3.353807,3.364917,,,
2025-11-08 13:36:16.613,14.116,1.895150,0.782494,1.595094,0.307799,0,5,1.094775,1.879875,1.634547,1.881320,1.664610,1.806763,3.171278,3.365576,3.178073,3.649381,3.438955,3.549884,1.210909,1.056122,1.007813
2025-11-08 13:36:16.844,14.348,1.895150,0.782494,1.595094,0.000000,0,4,,,,1.881320,1.726341,1.806763,3.171278,3.284151,3.178073,3.649381,3.487127,3.549884,0.903895,1.101502,1.160622
2025-11-08 13:36:17.103,14.607,1.921716,0.706557,1.482104,0.377564,0,5,2.096471,1.932549,2.001171,1.097317,1.622398,1.486985,4.195102,3.543761,3.881975,4.052754,3.678340,3.927448,1.926086,1.337595,1.645171
2025-11-08 13:36:17.391,14.895,1.921716,0.706557,1.482104,0.000000,0,4,1.413005,1.942613,1.955724,,,,4.195102,3.690633,3.881975,4.052754,3.786517,3.927448,1.926086,1.471162,1.645171
2025-11-08 13:36:17.594,15.098,1.885440,0.659619,1.572468,0.177187,0,5,1.696975,1.946354,1.951229,1.300938,1.566131,1.492827,3.909704,3.696780,3.704788,3.381931,3.527749,3.190632,1.530567,1.381208,1.264017
2025-11-08 13:36:17.849,15.353,1.943023,0.739400,1.426956,0.000000,0,4,1.696975,1.948471,1.951229,1.657508,1.558245,1.547972,,,,3.381931,3.381353,3.190632,1.530567,1.330317,1.264017
